Frame,Luma
1,-42.511625192901235
2,-42.518804012345676
3,-42.53108458719136
4,-42.544667727623455
5,-42.37757330246914
6,-42.27192804783951
7,-42.236960358796296
8,-41.82462962962963
9,-41.68117862654321
10,-41.16063802083333
11,-41.037960069444445
12,-41.02112991898148
13,-41.06567756558642
14,-41.05583670910494
15,-41.045434510030866
16,-41.029176793981485
17,-41.021020447530866
18,-41.02201051311729
19,-41.01830102237654
20,-41.029493152006175
21,-41.03779755015432
22,-41.03520881558642
23,-41.03758342978395
24,-41.03313657407407
25,-41.03099633487654
26,-41.043693094135804
27,-41.0479190779321
28,-41.050649594907405
29,-41.05324893904321
30,-41.059953703703705
31,-40.96142361111111
32,-41.02018952546296
33,-41.02883921682099
34,-40.98344184027778
35,-41.0064096257716
36,-41.01042197145062
37,-40.91978539737654
38,-40.904800829475306
39,-40.95216820987655
40,-40.895411361882715
41,-40.865900848765435
42,-40.89646170910494
43,-40.78746576003086
44,-40.7805184220679
45,-40.757027391975306
46,-40.81805459104938
47,-40.79392795138889
48,-40.77875144675926
49,-40.821576485339506
50,-40.82312934027778
51,-40.733176601080245
52,-40.697267071759256
53,-40.73666763117284
54,-40.68662808641975
55,-40.669709683641976
56,-40.70116705246914
57,-40.58176601080247
58,-40.569210069444445
59,-40.55312114197531
60,-40.60839168595679
61,-40.665370852623454
62,-40.59251446759259
63,-40.56450810185185
64,-40.59417679398148
65,-40.49856481481481
66,-40.45890625
67,-40.41802758487654
68,-40.45945987654321
69,-40.41181712962963
70,-40.437954764660496
71,-40.38660831404321
72,-40.31270109953704
73,-40.288849344135805
74,-40.28699749228395
75,-40.27236930941358
76,-40.31677758487654
77,-40.294668692129626
78,-40.28338107638889
79,-40.304609375
80,-40.22863811728395
81,-40.21541859567901
82,-40.21389371141975
83,-40.26724874614197
84,-40.241314139660496
85,-40.217861207561725
86,-40.24658854166667
87,-40.168913483796295
88,-40.17695457175926
89,-40.15778260030864
90,-40.20029658564815
91,-40.21488763503086
92,-40.12087239583333
93,-40.12369839891975
94,-40.031133777006175
95,-40.01774546682099
96,-39.99656684027778
97,-40.027627314814815
98,-39.982328317901235
99,-39.952208719135804
100,-39.979060570987656
101,-39.904453125
102,-39.88296344521605
103,-39.84997444058642
104,-39.89719280478395
105,-39.840888310185186
106,-39.867755111882715
107,-39.87073109567901
108,-39.79146170910494
109,-39.765846836419755
110,-39.816144386574074
111,-39.775075713734566
112,-39.74469280478395
113,-39.83055121527778
114,-39.692392939814816
115,-39.67679591049383
116,-39.64725115740741
117,-39.67527391975309
118,-39.60886140046296
119,-39.68624228395062
120,-39.639284336419756
121,-39.60422357253086
122,-39.5969174382716
123,-39.63069299768519
124,-39.57956066743827
125,-39.60526041666667
126,-39.55117091049383
127,-39.57459394290124
128,-39.52468074845679
129,-39.5301171875
130,-39.47734230324074
131,-39.49210407021605
132,-39.46008825231481
133,-39.484072627314816
134,-39.47717303240741
135,-39.47741849922839
136,-39.479997106481484
137,-39.46416136188272
138,-39.31341194058642
139,-39.374495081018516
140,-39.221324749228394
141,-39.36426649305555
142,-39.34144820601852
143,-39.3679084683642
144,-39.36218508873457
145,-39.353701292438274
