Frame,Luma
1,-50.76524594907407
2,-50.76119357638889
3,-50.61337287808642
4,-50.537341820987656
5,-50.50594039351852
6,-50.024442997685185
7,-49.89194203317901
8,-50.114048514660496
9,-50.475557966820986
10,-50.54090518904321
11,-50.355276331018516
12,-49.67217110339506
13,-49.65131655092593
14,-49.56271942515432
15,-49.51279224537037
16,-49.241496431327164
17,-48.537171585648146
18,-48.30596498842593
19,-48.21211564429012
20,-48.086069155092595
21,-48.02510850694444
22,-48.084342206790126
23,-47.99028211805555
24,-47.984040316358026
25,-48.0141015625
26,-48.01092399691358
27,-47.90297453703704
28,-47.87476610725309
29,-47.918121141975305
30,-47.85289641203704
31,-47.69195360725308
32,-47.664122781635804
33,-47.492734375
34,-47.47036120756173
35,-47.49925395447531
36,-47.56635898919753
37,-47.56188416280864
38,-47.532282021604935
39,-47.503656925154324
40,-47.501552854938275
41,-47.51814718364197
42,-47.55515383873457
43,-47.49457175925926
44,-47.447214023919756
45,-47.257090084876545
46,-47.28482011959876
47,-47.24084924768518
48,-47.185881558641974
49,-47.13957320601852
50,-46.94242669753086
51,-46.8642399691358
52,-46.8954509066358
53,-46.88966386959876
54,-46.85903163580247
55,-46.84172260802469
56,-46.83595100308642
57,-46.82955488040123
58,-46.830058834876546
59,-46.827964891975306
60,-46.847631172839506
61,-46.78731047453704
62,-46.822000868055554
63,-46.842801408179014
64,-46.84937837577161
65,-46.840063657407406
66,-46.82127266589506
67,-46.84633294753086
68,-46.888013117283954
69,-46.81200520833333
70,-46.807024980709876
71,-46.79772231867284
72,-46.83519193672839
73,-46.802563657407404
74,-46.76636574074074
75,-46.779654706790126
76,-46.62779947916667
77,-46.57618730709876
78,-46.56822048611111
79,-46.62853491512346
80,-46.57738040123457
81,-46.539336419753084
82,-46.56482445987654
83,-46.4945775462963
84,-46.49918016975309
85,-46.47986834490741
86,-46.51896894290123
87,-46.502708815586416
88,-46.50645495756173
89,-46.54431375385803
90,-46.48009741512346
91,-46.60611545138889
92,-46.62258342978395
93,-46.58852382330247
94,-46.60722993827161
95,-46.590189043209875
96,-46.49337287808642
97,-46.486014178240744
98,-46.5383097029321
99,-46.515067997685186
100,-46.486270736882716
101,-46.490537712191355
102,-46.44008391203704
103,-46.43500675154321
104,-46.400769193672836
105,-46.4463850308642
106,-46.2515909529321
107,-46.22482880015432
108,-46.07542920524691
109,-46.05078510802469
110,-46.03719135802469
111,-46.083030960648145
112,-46.03524739583333
113,-46.01760271990741
114,-46.0559481095679
115,-45.95477141203704
116,-45.926603491512346
117,-45.91781491126543
118,-45.971224922839504
119,-45.927260802469135
120,-45.90355613425926
121,-45.8969212962963
122,-45.87824990354938
123,-45.85907455632716
124,-45.84365692515432
125,-45.79696662808642
126,-45.85507137345679
127,-45.83269434799383
128,-45.872730034722224
129,-45.85853443287037
130,-45.74206645447531
131,-45.71577160493827
132,-45.770479841820986
133,-45.748826195987654
134,-45.73879195601852
135,-45.711060474537035
136,-45.624559702932096
137,-45.628249421296296
138,-45.68335358796296
139,-45.645468267746914
140,-45.60555700231482
141,-45.63368634259259
142,-45.54736786265432
143,-45.52220244984568
144,-45.47169415509259
145,-45.53641107253087
146,-45.5990412808642
147,-45.62498119212963
148,-45.50333333333333
149,-45.487024016203705
150,-45.460688175154324
151,-45.524342206790124
152,-45.48156105324074
153,-45.399922839506175
154,-45.4058130787037
155,-45.3857315779321
156,-45.25333236882716
157,-45.29999083719136
158,-45.25831211419753
159,-45.23112027391975
160,-45.266562982253085
161,-45.20863956404321
162,-45.2191087962963
163,-45.27820842978395
164,-45.229231288580245
165,-45.20294849537037
166,-45.21939670138889
167,-45.133569155092594
168,-45.12227864583333
169,-45.166070119598764
170,-45.27981577932099
171,-45.618231095679015
172,-45.91640094521605
173,-45.4962712191358
174,-45.09807436342592
175,-44.970739776234566
176,-44.904352334104935
177,-44.85534529320988
178,-44.76773678626543
179,-44.79362991898148
180,-44.72327015817901
181,-44.688473186728395
182,-44.72895061728395
183,-44.65555217978395
184,-44.63126109182099
185,-44.69615162037037
186,-44.689375
187,-44.66193431712963
