Frame,Luma
1,-35.93316984953704
2,-35.88866319444445
3,-35.78999180169753
4,-35.72580922067901
5,-35.63628279320988
6,-35.50583767361111
7,-35.417622492283954
8,-35.35740837191358
9,-35.31546971450617
10,-35.2130362654321
11,-35.25102141203703
12,-35.23703896604938
13,-35.024540895061726
14,-35.068449074074074
15,-35.069590084876545
16,-35.04621383101852
17,-34.998150077160496
18,-34.918249421296295
19,-34.684490258487656
20,-34.65173948688272
21,-34.71356915509259
22,-34.70234519675926
23,-34.68106143904321
24,-34.64054157021605
25,-34.59516734182099
26,-34.3520384837963
27,-34.2949893904321
28,-34.0441087962963
29,-33.90036024305556
30,-33.66132957175926
31,-33.09453125
32,-32.43417727623457
33,-31.935127314814814
34,-31.96460262345679
35,-32.63886477623457
36,-33.408489583333335
37,-34.13244598765432
38,-34.90597945601852
39,-35.133347800925925
40,-35.413314525462965
41,-35.57830536265432
42,-35.721850405092596
43,-35.95247636959876
44,-36.178366608796296
45,-36.17779610339506
46,-36.089856770833336
47,-36.149845679012344
48,-36.27338638117284
49,-36.43215856481481
50,-36.5855111882716
51,-36.62145109953704
52,-36.70081548996914
53,-36.79992283950617
54,-36.89052083333333
55,-36.988241705246914
56,-37.077529899691356
57,-37.136869212962964
58,-37.17037229938271
59,-37.18172550154321
60,-37.213777488425926
61,-37.3840518904321
62,-37.355749421296295
63,-37.15617476851852
64,-36.89354986496914
65,-36.8569458912037
66,-36.790396894290126
67,-36.82526523919753
68,-36.816592881944445
69,-36.78700665509259
70,-36.7645346257716
71,-36.71789207175926
72,-36.67262635030864
73,-36.446998456790126
74,-36.382935474537035
75,-36.399433352623454
76,-36.3908805941358
77,-36.357115644290126
78,-36.34327449845679
79,-36.33834972993827
80,-36.342550636574074
81,-36.35000482253086
82,-36.400674189814815
83,-36.5377555941358
84,-36.64802228009259
85,-36.35238040123457
86,-36.26234760802469
87,-36.236195505401234
88,-36.26031201774691
89,-36.241906828703705
90,-36.22685812114197
91,-36.09092881944444
92,-36.14310185185185
93,-36.16150173611111
94,-36.11887635030864
95,-36.16126591435185
96,-36.069600694444446
97,-36.06156732253086
98,-36.05770736882716
99,-36.12906925154321
100,-36.08230565200617
101,-36.109255883487656
102,-36.115482735339505
103,-35.99096113040123
104,-35.937870852623455
105,-35.993412422839505
106,-35.949532696759256
107,-35.97539978780864
108,-35.90631558641975
109,-35.86085117669753
110,-35.85950520833333
111,-35.86559124228395
112,-35.95002700617284
113,-36.04183352623457
114,-36.10718364197531
115,-36.198564814814816
116,-36.10277970679012
117,-36.04608265817901
118,-36.01026379243827
119,-36.05810619212963
120,-36.04530381944444
121,-35.86231674382716
122,-35.90943142361111
123,-35.90705295138889
124,-35.908503086419756
125,-35.919650848765436
126,-35.91900462962963
127,-35.923605324074074
128,-35.9182706404321
129,-35.9008844521605
130,-35.87687403549383
131,-35.73835262345679
132,-35.69245611496913
133,-35.73637201003086
134,-35.770946180555555
135,-35.81312982253086
136,-35.83755063657407
137,-35.846802662037035
138,-35.7167472029321
139,-35.32851658950617
140,-35.206686921296296
141,-35.05899836033951
142,-34.94243875385803
143,-34.9897868441358
144,-34.90966435185185
145,-34.925183256172836
146,-35.057776331018516
147,-35.23051552854938
148,-35.46996913580247
149,-35.637227527006175
150,-35.8016155478395
151,-36.15319974922839
152,-36.14649016203704
153,-36.23382764274692
