Entry,03302023_JK_01_FP_black_120_2_HR60.MOV,03302023_JK_02_FP_black_120_2_HR60.MOV,03302023_JK_03_FP_black_120_2_HR60.MOV,03302023_JK_04_FP_black_120_2_HR60.MOV,03302023_JK_05_FP_black_120_2_HR60.MOV,03302023_JK_06_FP_black_120_2_HR60.MOV,03302023_JK_07_FP_black_120_2_HR60.MOV
PulseOx HR,60.0,60.0,60.0,60.0,60.0,60.0,60.0
Calc HR,63.31135088033379,37.113550516057735,54.578750758908434,56.76190078926477,54.578750758908434,61.128200849977446,48.02930066783942
Diff,-3.3113508803337908,22.886449483942265,5.421249241091566,3.2380992107352284,5.421249241091566,-1.1282008499774463,11.970699332160578
