Frame,Luma
1,-37.20159336419753
2,-37.18361930941358
3,-37.140221836419755
4,-37.05300684799383
5,-36.97052469135802
6,-36.87251350308642
7,-36.79802420910494
8,-36.737782118055556
9,-36.73574315200617
10,-36.728930362654324
11,-36.737414641203706
12,-36.71135947145062
13,-36.54528501157407
14,-36.52149884259259
15,-36.49850260416667
16,-36.55815731095679
17,-36.57007957175926
18,-36.570364101080244
19,-36.55478443287037
20,-36.635275366512346
21,-36.58078559027778
22,-36.5766618441358
23,-36.54059027777778
24,-36.26979166666667
25,-35.896072530864195
26,-35.72604021990741
27,-35.615900848765435
28,-35.51376109182099
29,-35.33262972608025
30,-35.209386574074074
31,-35.08471402391975
32,-35.008506462191356
33,-34.94571662808642
34,-35.00243103780864
35,-35.13215326003086
36,-35.245913869598766
37,-35.29860484182099
38,-35.47422019675926
39,-35.611660397376546
40,-35.47898485725309
41,-35.42629870756173
42,-35.43706114969136
43,-35.44440489969136
44,-35.425054012345676
45,-35.512984664351855
46,-35.53128713348765
47,-35.50547116126543
48,-35.28193769290124
49,-35.21993103780864
50,-35.327603202160496
51,-35.50106674382716
52,-35.57658805941358
53,-35.68612895447531
54,-35.74184268904321
55,-35.774494116512344
56,-35.8900106095679
57,-35.99627218364198
58,-36.103899016203705
59,-36.31509355709876
60,-36.54983410493827
61,-36.84706356095679
62,-36.743064718364195
63,-36.668570601851854
64,-36.60770206404321
65,-36.54092062114198
66,-36.49093508873457
67,-36.519089988425925
68,-36.506708140432096
69,-36.36097077546296
70,-36.37189380787037
71,-36.43248794367284
72,-36.440439814814816
73,-36.48505497685185
74,-36.33225935570988
75,-36.22376494984568
76,-36.15723813657407
77,-36.10301456404321
78,-36.04803337191358
79,-36.01617814429012
80,-35.98704330632716
81,-36.02273003472222
82,-36.0145240162037
83,-35.99428867669753
84,-35.874877025462965
85,-35.95861014660494
86,-35.96741801697531
87,-35.91121479552469
88,-35.903765432098766
89,-35.83662615740741
90,-35.726083140432095
91,-35.803720100308645
92,-35.79607783564815
93,-35.83863136574074
94,-35.74438850308642
95,-35.69055603780864
96,-35.719155092592594
97,-35.73612606095679
98,-35.76512683256173
99,-35.79456597222222
100,-35.800967881944445
101,-35.805215084876544
102,-35.80719232253087
103,-35.794837962962966
104,-35.78009114583333
105,-35.74610146604938
106,-35.59100260416667
107,-35.59213589891975
108,-35.66909143518519
109,-35.706332465277775
110,-35.76421730324074
111,-35.81428867669753
112,-35.7171199845679
113,-35.735234375
114,-35.778094618055555
115,-35.855131172839506
116,-35.87922453703704
117,-35.894057677469135
118,-35.77988233024691
119,-35.74692418981481
120,-35.718243152006174
121,-35.42287133487655
122,-35.456850405092595
123,-35.42545042438272
124,-35.465595582561726
125,-35.45882137345679
126,-35.454157021604935
127,-35.367786458333335
128,-35.46111641589506
129,-35.52793643904321
130,-35.368205536265435
131,-35.33972897376543
132,-35.35038917824074
133,-35.44261043595679
134,-35.471152102623456
135,-35.488087866512345
136,-35.372335069444446
137,-35.37067274305556
138,-35.484756462191356
139,-35.62938994984568
140,-35.706809413580245
141,-35.81438368055556
142,-35.91258487654321
143,-35.91505449459876
144,-35.82464457947531
145,-35.55596981095679
146,-35.48755931712963
147,-35.457044270833336
148,-35.42387924382716
149,-35.44797212577161
150,-35.43686053240741
151,-35.32110194830247
152,-35.337342785493824
153,-35.36398244598765
154,-35.59772472993827
155,-36.27465422453704
156,-36.87000819830247
157,-37.18781635802469
158,-37.4225106095679
159,-37.757367380401234
160,-37.85884018132716
161,-37.673993055555556
162,-37.494840374228396
163,-37.24052035108025
164,-36.935866608796296
165,-36.549519193672836
166,-36.19068817515432
167,-35.37828317901234
168,-34.31843508873457
169,-33.77369212962963
170,-33.22320601851852
171,-32.080032793209874
172,-31.5987003279321
173,-31.262949459876545
174,-31.581223476080247
175,-31.794263599537036
176,-31.877691936728397
177,-31.850522280092594
178,-31.725075231481483
179,-31.690733989197533
180,-31.66025173611111
181,-31.88265335648148
182,-31.890795717592592
183,-31.90567660108025
184,-31.964456500771604
185,-31.992452256944443
186,-31.85877700617284
187,-32.40685426311728
188,-32.59892795138889
189,-32.73265769675926
190,-33.004060570987654
191,-32.96349971064815
192,-33.0491512345679
193,-33.080957272376544
194,-33.172032214506174
195,-33.23157359182099
196,-33.21143180941358
197,-33.11010079089506
198,-33.081477141203706
199,-33.177484085648146
200,-33.22107542438272
201,-33.25284866898148
202,-33.282439718364195
203,-33.31998746141975
204,-33.48121045524692
205,-33.575550250771606
206,-33.51841194058642
207,-33.558465952932096
208,-33.63957802854938
209,-33.66089168595679
210,-33.66551311728395
211,-33.54408275462963
212,-33.636641589506176
213,-33.64397665895062
214,-33.682395351080245
215,-33.71338831018519
216,-33.72435329861111
217,-33.69577305169753
218,-33.67519048996913
219,-33.55759355709876
