Frame,20230221_MV_01_TH_120_2.0.mp4
0,-60.68931327160494
1,-60.68778018904321
2,-60.68556712962963
3,-60.68537808641975
4,-60.688441840277775
5,-60.689858217592594
6,-60.69767216435185
7,-60.70255111882716
8,-60.70524112654321
9,-60.70661024305556
10,-60.70728780864197
11,-60.70743489583333
12,-60.7056852816358
13,-60.70466290509259
14,-60.70253231095679
15,-60.701591435185186
16,-60.70053192515432
17,-60.696665702160495
18,-60.69476080246913
19,-60.69151138117284
20,-60.6886361882716
21,-60.68581983024691
22,-60.68826678240741
23,-60.6909124228395
24,-60.68965374228395
25,-60.685146604938275
26,-60.68256221064815
27,-60.67601610725308
28,-60.66767602237654
29,-60.657341820987654
30,-60.650357831790124
31,-60.64369839891975
32,-60.63894193672839
33,-60.637825038580246
34,-60.64359567901234
35,-60.64776186342593
36,-60.65213252314815
37,-60.65845582561728
38,-60.661982542438274
39,-60.66709008487654
40,-60.67243103780864
41,-60.67566068672839
42,-60.67302806712963
43,-60.66884741512346
44,-60.67217881944445
45,-60.66687162422839
46,-60.66408709490741
47,-60.66223668981481
48,-60.6602522183642
49,-60.66043258101852
50,-60.66014178240741
51,-60.65598090277778
52,-60.6562606095679
53,-60.658020351080246
54,-60.65821662808642
55,-60.66127025462963
56,-60.66102141203704
57,-60.6604296875
58,-60.66094184027778
59,-60.660158661265434
60,-60.6573046875
61,-60.65444637345679
62,-60.653046875
63,-60.65089699074074
64,-60.653472704475305
65,-60.651616512345676
66,-60.648622202932096
67,-60.64814380787037
68,-60.65085792824074
69,-60.65345389660494
70,-60.657313368055554
71,-60.65799527391975
72,-60.65964602623457
73,-60.660131172839506
74,-60.65939814814815
75,-60.652711709104935
76,-60.65098138503087
77,-60.64662760416667
78,-60.6425887345679
79,-60.64211516203704
80,-60.64108024691358
81,-60.639460841049384
82,-60.637892554012346
83,-60.63489920910494
84,-60.6335903742284
85,-60.631552372685185
86,-60.62784481095679
87,-60.62878954475308
88,-60.63417872299383
89,-60.63830150462963
90,-60.640562789351854
91,-60.63921489197531
92,-60.63556905864198
93,-60.635613425925925
94,-60.63390576774692
95,-60.631606385030864
96,-60.62932822145062
97,-60.62805507330247
98,-60.62803530092592
99,-60.62501832561728
100,-60.62451919367284
101,-60.62664834104938
102,-60.626321855709875
103,-60.627457079475306
104,-60.626104359567904
105,-60.625063175154324
106,-60.624997588734566
107,-60.61384741512346
108,-60.60460358796296
109,-60.598030960648146
110,-60.594724151234566
111,-60.591954089506174
112,-60.591912133487654
113,-60.58598524305555
114,-60.581026716820986
115,-60.577555459104936
116,-60.57759500385802
117,-60.577445505401236
118,-60.57619743441358
119,-60.572542438271604
120,-60.56771122685185
121,-60.563354552469136
122,-60.55922646604938
123,-60.5645597029321
124,-60.56389371141975
125,-60.56802999614197
126,-60.56538194444445
127,-60.559850019290124
128,-60.55651138117284
129,-60.54906491126543
130,-60.5400675154321
131,-60.53633487654321
132,-60.534166666666664
133,-60.53344280478395
134,-60.53469280478395
135,-60.536123649691355
136,-60.535751350308644
137,-60.53696807484568
138,-60.539359567901236
139,-60.54164351851852
140,-60.54248890817901
141,-60.543380594135805
142,-60.5427985146605
143,-60.54102527006173
144,-60.543045910493824
145,-60.54245466820988
146,-60.538453896604935
147,-60.532131076388886
148,-60.52868634259259
149,-60.52535300925926
150,-60.522222222222226
151,-60.52259452160494
152,-60.522861207561725
153,-60.52182146990741
154,-60.52146412037037
155,-60.51892988040124
156,-60.5173225308642
157,-60.51087962962963
158,-60.50632282021605
159,-60.50287085262346
160,-60.5038599537037
161,-60.50370081018519
162,-60.50408854166667
163,-60.50438802083333
164,-60.5071662808642
165,-60.509633969907405
166,-60.51132667824074
167,-60.50908179012346
168,-60.50659529320988
169,-60.50013117283951
170,-60.495653452932096
171,-60.495901331018516
172,-60.49663966049383
173,-60.49700569058642
174,-60.49765528549383
175,-60.4963387345679
176,-60.49711371527778
177,-60.4982740162037
178,-60.50046006944444
179,-60.50116657021605
180,-60.49945987654321
181,-60.50130353009259
182,-60.501766493055555
183,-60.50256799768518
184,-60.50396556712963
185,-60.503939043209876
186,-60.502578607253085
187,-60.50258005401235
188,-60.50678192515432
189,-60.50696614583333
190,-60.50910011574074
191,-60.509983603395064
192,-60.50900028935185
193,-60.50901813271605
194,-60.5079369212963
195,-60.510328414351854
196,-60.51413917824074
197,-60.51307629243827
198,-60.512869405864194
199,-60.511629050925926
200,-60.51059847608025
201,-60.51050733024692
202,-60.50982638888889
203,-60.508818962191356
204,-60.512927758487656
205,-60.5093962191358
206,-60.50867814429012
207,-60.50690200617284
208,-60.50411506558642
209,-60.50215760030864
210,-60.50043499228395
211,-60.497969714506176
212,-60.49878086419753
213,-60.488197337962966
214,-60.48345100308642
215,-60.476601080246915
216,-60.473410976080245
217,-60.46927372685185
218,-60.46545958719136
219,-60.456386959876546
220,-60.44693624614197
221,-60.43253520447531
222,-60.426835455246916
223,-60.425645736882714
224,-60.42042920524691
225,-60.417626350308645
226,-60.41327305169753
227,-60.40878472222222
228,-60.40681905864197
229,-60.4042472029321
230,-60.40138744212963
231,-60.39687837577161
232,-60.3870418595679
233,-60.3660652970679
234,-60.35336564429012
235,-60.3467862654321
236,-60.340434027777775
237,-60.337523630401236
238,-60.33714699074074
239,-60.3362003279321
240,-60.33850887345679
241,-60.33736689814815
242,-60.336785300925925
243,-60.34080922067901
244,-60.33759789737654
245,-60.330989583333334
246,-60.32445071373457
247,-60.31630642361111
248,-60.31095100308642
249,-60.30670910493827
250,-60.304211033950615
251,-60.303710455246915
252,-60.30607928240741
253,-60.306805555555556
254,-60.306556712962966
255,-60.310904706790126
256,-60.31266975308642
257,-60.314453607253085
258,-60.31808497299383
259,-60.322465760030866
260,-60.32809124228395
261,-60.329774787808645
262,-60.33088011188271
263,-60.33170428240741
264,-60.33073061342593
265,-60.32844039351852
266,-60.329891493055555
267,-60.32272472993827
268,-60.31470100308642
269,-60.306317997685184
270,-60.3021378279321
271,-60.29657986111111
272,-60.29305893132716
273,-60.290297067901236
274,-60.287324459876544
275,-60.28568238811729
276,-60.28154417438272
277,-60.28204716435185
278,-60.28013358410494
279,-60.27629774305556
280,-60.271529706790126
281,-60.26896026234568
282,-60.26705295138889
283,-60.261603491512346
284,-60.26153549382716
285,-60.2613777970679
286,-60.260999228395065
287,-60.263078703703705
288,-60.264835069444445
289,-60.26931664737654
290,-60.271886574074074
291,-60.27232156635802
292,-60.272646604938274
293,-60.275761477623455
294,-60.276015625
295,-60.276988811728394
296,-60.286964699074076
297,-60.29798273533951
298,-60.3041796875
299,-60.305590277777775
300,-60.30848910108025
301,-60.30814139660494
302,-60.30845920138889
303,-60.304481095679016
304,-60.297071277006175
305,-60.29797309027778
306,-60.29899546682099
307,-60.2994034529321
308,-60.30048611111111
309,-60.30177613811728
310,-60.30518422067901
311,-60.30778018904321
312,-60.3089453125
313,-60.31164737654321
314,-60.312984182098766
315,-60.311594328703706
316,-60.31120129243827
317,-60.304629147376545
318,-60.30493827160494
319,-60.30803240740741
320,-60.30834587191358
321,-60.30991801697531
322,-60.310244502314816
323,-60.31525704089506
324,-60.31979648919753
325,-60.323845968364196
326,-60.32909673996914
327,-60.33390528549383
328,-60.33840277777778
329,-60.337356288580246
330,-60.342582947530865
331,-60.34979648919753
332,-60.34962191358024
333,-60.34846836419753
334,-60.34203607253087
335,-60.336862461419756
336,-60.337867476851855
337,-60.333816550925924
338,-60.32791714891975
339,-60.324785397376544
340,-60.32478105709877
341,-60.32579475308642
342,-60.3275853587963
343,-60.32893711419753
344,-60.32763213734568
345,-60.32278549382716
346,-60.32104021990741
347,-60.316221547067904
348,-60.309141589506176
349,-60.2994352816358
350,-60.290830922067904
351,-60.28929301697531
352,-60.28269772376543
